NOMEDEP;DE;DISTR;MUN;TIPOESC;COD_ESC;NOMESC;DS_PAIS;Nº alunos
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;08;0017176;MAGI MONSENHOR;Bolívia;2
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;08;0017188;ARY MENEGATTO PROF;Haiti;6
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;08;0039846;ANTONIO ZANAGA PREFEITO;Bolívia;2
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;08;0435454;MARIA DO CARMO AUGUSTI PROFA;Paraguai;2
ESTADUAL - SE;AMERICANA;NOVA ODESSA;NOVA ODESSA;08;0049906;SILVANIA APARECIDA SANTOS PROFA;Venezuela;1
ESTADUAL - SE;AMERICANA;NOVA ODESSA;NOVA ODESSA;08;0905574;JOAQUIM RODRIGUES AZENHA DR;Bolívia;2
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;08;0017061;ULISSES DE OLIVEIRA VALENTE PROF;Marrocos;1
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;08;0017231;EMILIO ROMI COMENDADOR;Peru;1
ESTADUAL - SE;APIAI;APIAI;APIAI;08;0014357;REGINA DIAS ANTUNES DA SILVA PROFA;Reino Unido da Grã-Bretanha e Irlanda do Norte;1
ESTADUAL - SE;APIAI;APIAI;APIAI;08;0014370;ANTONIA BAPTISTA CALAZANS LUZ PROFA;Espanha;1
ESTADUAL - SE;ARACATUBA;ARACATUBA;ARACATUBA;08;0029737;LICOLINA VILLELA REIS ALVES PROFA;Japão;1
